Matricula,Ano/Período Letivo,Código,CH,Média
202016040002,2021.1,SI05003,34,B
202016040002,2021.1,SI05006,68,B
202016040002,2021.3,SI05008,68,E
202016040002,2021.3,SI05010,68,B
202016040002,2021.3,SI05012,34,E
202016040002,2021.4,SI05007,68,B
202016040002,2021.4,SI05009,68,R
202016040002,2022.2,SI05013,68,R
202016040002,2022.2,SI05014,68,B
202016040002,2022.2,SI05016,68,E
202016040002,2022.2,SI05017,34,E
202016040002,2022.2,SI05018,34,E
202016040002,2022.2,SI05019,68,E
202016040002,2022.4,SI05020,68,B
202016040002,2022.4,SI05021,68,E
202016040002,2022.4,SI05022,68,E
202016040002,2022.4,SI05023,68,I
202016040002,2022.4,SI05024,34,E
202016040002,2022.4,SI05025,34,E
202016040002,2022.4,SI05026,68,E
202016040002,2023.2,SI05023,68,E
202016040002,2023.2,SI05027,68,R
202016040002,2023.2,SI05028,68,B
202016040002,2023.2,SI05030,68,E
202016040002,2023.2,SI05031,34,B
202016040002,2023.2,SI05033,68,E
202016040002,2023.3,SI05005,34,E
202016040002,2023.3,SI05011,34,E
202016040002,2023.4,SI05002,68,R
202016040002,2023.4,SI05004,68,E
202016040002,2023.4,SI05015,68,B
202016040002,2023.4,SI05034,68,E
202016040002,2023.4,SI05035,68,B
202016040002,2023.4,SI05036,68,E
202016040002,2023.4,SI05037,68,B
202016040002,2023.4,SI05038,34,E
202016040002,2023.4,SI05039,34,E
202016040002,2023.4,SI05040,68,E
202016040002,2024.1,SI05029,68,E
202016040002,2024.1,SI05032,34,E
202016040002,2024.2,SI05041,68,R
202016040002,2024.2,SI05043,34,E
202016040002,2024.2,SI05044,34,E
202016040002,2024.2,SI05045,68,E
202016040002,2024.2,SI05049,34,E
202016040002,2024.2,SI05055,68,E
202016040002,2024.3,SI05042,68,B
202016040002,2024.4,SI05046,34,E
202016040002,2024.4,SI05048,68,-
202016040002,2024.4,SI05060,68,E
202016040002,2024.4,SI05101,60,E
202016040002,2025.1,SI05047,306,E
202016040002,2025.1,SI05051,34,E
202016040002,2025.1,SI05052,34,E
202016040002,2025.1,SI05053,34,E
202016040002,2025.1,SI05054,34,E
202016040028,2020.4,SI05001,68,E
202016040028,2020.4,SI05004,68,E
202016040028,2020.4,SI05005,34,E
202016040028,2021.1,SI05003,34,E
202016040028,2021.1,SI05006,68,R
202016040028,2021.3,SI05010,68,R
202016040028,2021.3,SI05012,34,E
202016040028,2021.4,SI05007,68,B
202016040028,2021.4,SI05009,68,R
202016040028,2022.2,SI05013,68,I
202016040028,2022.2,SI05014,68,I
202016040028,2022.2,SI05016,68,E
202016040028,2022.2,SI05017,34,E
202016040028,2022.2,SI05018,34,B
202016040028,2022.2,SI05019,68,E
202016040028,2022.4,SI05014,68,I
202016040028,2022.4,SI05020,68,S
202016040028,2022.4,SI05021,68,S
202016040028,2022.4,SI05022,68,S
202016040028,2022.4,SI05023,68,I
202016040028,2022.4,SI05024,34,E
202016040028,2022.4,SI05025,34,R
202016040028,2022.4,SI05026,68,E
202016040028,2023.2,SI05023,68,E
202016040028,2023.2,SI05027,68,S
202016040028,2023.2,SI05028,68,R
202016040028,2023.2,SI05030,68,S
202016040028,2023.2,SI05031,34,B
202016040028,2023.2,SI05033,68,E
202016040028,2023.4,SI05034,68,B
202016040028,2023.4,SI05035,68,I
202016040028,2023.4,SI05036,68,E
202016040028,2023.4,SI05037,68,I
202016040028,2023.4,SI05038,34,I
202016040028,2023.4,SI05039,34,I
202016040028,2024.1,SI05029,68,I
202016040028,2024.1,SI05032,34,I
202016040028,2024.2,SI05041,68,S
202016040028,2024.2,SI05043,34,R
202016040028,2024.4,SI05013,68,I
202016040028,2024.4,SI05014,68,I
202016040028,2024.4,SI05015,68,I
202016040028,2024.4,SI05045,68,E
202016040028,2024.4,SI05056,68,I
202016040028,2024.4,SI05100,60,I
202016040028,2025.2,SI05020,68,-
202016040028,2025.2,SI05021,68,-
202016040028,2025.2,SI05022,68,-
202016040028,2025.2,SI05049,34,-
202016040028,2025.2,SI05050,34,-
202016040030,2020.4,SI05001,68,E
202016040030,2020.4,SI05004,68,E
202016040030,2020.4,SI05005,34,E
202016040030,2021.1,SI05006,68,B
202016040030,2021.3,SI05008,68,B
202016040030,2021.3,SI05010,68,E
202016040030,2021.3,SI05012,34,E
202016040030,2021.4,SI05009,68,R
202016040030,2022.2,SI05013,68,I
202016040030,2022.2,SI05014,68,R
202016040030,2022.2,SI05016,68,B
202016040030,2022.2,SI05017,34,B
202016040030,2022.2,SI05018,34,E
202016040030,2022.2,SI05019,68,E
202016040030,2022.4,SI05020,68,E
202016040030,2022.4,SI05021,68,E
202016040030,2022.4,SI05022,68,E
202016040030,2022.4,SI05023,68,R
202016040030,2022.4,SI05024,34,E
202016040030,2022.4,SI05025,34,B
202016040030,2022.4,SI05026,68,E
202016040030,2023.2,SI05027,68,R
202016040030,2023.2,SI05028,68,R
202016040030,2023.2,SI05030,68,B
202016040030,2023.2,SI05031,34,B
202016040030,2023.2,SI05033,68,E
202016040030,2023.3,SI05011,34,E
202016040030,2023.4,SI05002,68,R
202016040030,2023.4,SI05003,34,R
202016040030,2023.4,SI05015,68,B
202016040030,2023.4,SI05034,68,E
202016040030,2023.4,SI05035,68,B
202016040030,2023.4,SI05036,68,E
202016040030,2023.4,SI05037,68,B
202016040030,2023.4,SI05038,34,E
