Matricula,Idade,Genero,Cor,Escolaridade_Mae,Escolaridade_Pai,Renda_Familiar_2024_2,Tipo_Escola_Ensino_Medio,Moradia_2024_2,Pessoas_Residencia_2024_2,Transporte_2024_2,Acesso_Internet_2024_2,Possui_Computador_2024_2,Trabalhava_2024_2,Quantas horas você trabalhava no período 2024.2 ?,Trabalho_Interfere_2024_2,Recebeu_Auxilio_2024_2,Pensou_Desistir_2024_2,Renda_Familiar_2024_4,Moradia_2024_4,Pessoas_Residencia_2024_4,Transporte_2024_4,Acesso_Internet_2024_4,Possui_Computador_2024_4,Trabalhava_2024_4,Horas_Trabalho_2024_4,Trabalho_Interfere_2024_4,Recebeu_Auxilio_2024_4,Pensou_Desistir_2024_4,CRG,Polo
202316040015,18 a 20 anos,Masculino,Pardo,Ensino superior,Ensino superior,Até 1 salário mínimo,Pública,Casa própria,5 ou mais,Bicicleta/Andando,Sim,Não,Não,Não trabalhava no período,Não,Não,Sim,Até 1 salário mínimo,Casa própria,5 ou mais,Bicicleta/Andando,Sim,Não,Não,Não trabalhava no período,Não,Não,Sim,4.41,Cameta
202016040002,Mais de 26 anos,Masculino,Pardo,Ensino fundamental,Ensino fundamental,Até 1 salário mínimo,Pública,Aluguel,5 ou mais,Bicicleta/Andando,Sim,Sim,"Sim, estágio remunerado",Não trabalhava no período,Não,Sim,Não,Até 1 salário mínimo,Aluguel,3 a 4,Bicicleta/Andando,Sim,Sim,Não,Não trabalhava no período,Não,Sim,Não,8.58,Cameta
202116040022,21 a 25 anos,Masculino,Pardo,Nenhuma,Nenhum,Até 1 salário mínimo,Pública,Casa própria,3 a 4,Bicicleta/Andando,Sim,Sim,Não,Não trabalhava no período,Não,Não,Sim,Até 1 salário mínimo,Casa própria,3 a 4,Bicicleta/Andando,Sim,Sim,Não,Não trabalhava no período,Não,Não,Sim,3.05,Cameta
202416040025,21 a 25 anos,Masculino,Pardo,Ensino fundamental,Nenhum,Até 1 salário mínimo,Pública,Aluguel,1 a 2,Bicicleta/Andando,Sim,Não,Não,Não trabalhava no período,Não,Não,Sim,Até 1 salário mínimo,Aluguel,1 a 2,Bicicleta/Andando,Sim,Sim,Não,Não trabalhava no período,Não,Não,Sim,2.67,Cameta
202416040020,18 a 20 anos,Masculino,Pardo,Ensino médio,Ensino médio,Até 1 salário mínimo,Pública,Aluguel,3 a 4,Bicicleta/Andando,Sim,Não,"Sim, trabalho informal",Até 20 horas/semana,"Sim, bastante",Não,Sim,Até 1 salário mínimo,Aluguel,3 a 4,Bicicleta/Andando,Sim,Não,"Sim, trabalho informal",Até 20 horas/semana,"Sim, bastante",Não,Sim,2.62,Cameta
202416040022,18 a 20 anos,Feminino,Branco,Ensino médio,Ensino médio,3 a 5 salários mínimos,Pública,Casa própria,3 a 4,Veículo próprio,Sim,Sim,Não,Não trabalhava no período,Não,Não,Não,3 a 5 salários mínimos,Casa própria,3 a 4,Veículo próprio,Sim,Sim,Não,Não trabalhava no período,Não,Não,Não,3.37,Cameta
202416040026,18 a 20 anos,Masculino,Branco,Ensino médio,Nenhum,Até 1 salário mínimo,Pública,Casa própria,1 a 2,Bicicleta/Andando,Sim,Não,Não,Não trabalhava no período,Não,Não,Não,Até 1 salário mínimo,Casa própria,1 a 2,Bicicleta/Andando,Sim,Não,Não,Não trabalhava no período,Não,Não,Não,2.79,Cameta
202416040010,21 a 25 anos,Masculino,Pardo,Ensino médio,Ensino fundamental,Até 1 salário mínimo,Pública,Casa própria,3 a 4,Bicicleta/Andando,Sim,Não,"Sim, trabalho informal",Até 20 horas/semana,"Sim, um pouco",Não,Sim,Até 1 salário mínimo,Casa própria,3 a 4,Bicicleta/Andando,Sim,Não,"Sim, trabalho informal",Até 20 horas/semana,"Sim, um pouco",Não,Sim,3.72,Cameta
202416040014,Mais de 26 anos,Feminino,Pardo,Ensino fundamental,Nenhum,Até 1 salário mínimo,Pública,Aluguel,5 ou mais,Bicicleta/Andando,Sim,Não,Não,Não trabalhava no período,Não,Não,Sim,Até 1 salário mínimo,Aluguel,5 ou mais,Bicicleta/Andando,Não,Não,Não,Não trabalhava no período,Não,Não,Sim,2.38,Cameta
202116040010,21 a 25 anos,Masculino,Pardo,Ensino superior,Ensino fundamental,1 a 3 salários mínimos,Pública,Aluguel,1 a 2,Bicicleta/Andando,Sim,Sim,Não,Não trabalhava no período,Não,Sim,Não,1 a 3 salários mínimos,Aluguel,1 a 2,Bicicleta/Andando,Sim,Sim,Não,Não trabalhava no período,Não,Sim,Não,7.54,Cameta
202316040031,21 a 25 anos,Masculino,Preto,Ensino fundamental,Ensino fundamental,Até 1 salário mínimo,Pública,Casa própria,5 ou mais,Bicicleta/Andando,Sim,Não,"Sim, estágio remunerado",Até 20 horas/semana,"Sim, um pouco",Não,Sim,1 a 3 salários mínimos,Casa própria,5 ou mais,Bicicleta/Andando,Sim,Não,"Sim, estágio remunerado",Até 20 horas/semana,"Sim, um pouco",Não,Sim,4.73,Cameta
